[Mon May 18 13:26:55.520124 2015] [:error] [pid 5160:tid 1016] [client ::1:62484] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:26:55.757124 2015] [:error] [pid 5160:tid 1016] [client ::1:62487] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:26:55.977124 2015] [:error] [pid 5160:tid 1016] [client ::1:62488] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:26:56.181124 2015] [:error] [pid 5160:tid 1016] [client ::1:62489] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:26:56.385124 2015] [:error] [pid 5160:tid 1016] [client ::1:62490] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:26:56.588124 2015] [:error] [pid 5160:tid 1016] [client ::1:62491] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:26:56.811124 2015] [:error] [pid 5160:tid 1016] [client ::1:62494] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:26:57.016124 2015] [:error] [pid 5160:tid 1016] [client ::1:62495] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:26:57.246124 2015] [:error] [pid 5160:tid 1016] [client ::1:62496] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:28:03.532124 2015] [:error] [pid 5160:tid 1016] [client ::1:62630] PHP Parse error:  syntax error, unexpected '<' in C:\\Server\\data\\htdocs\\basic\\views\\users\\index.php on line 3
[Mon May 18 13:28:04.645124 2015] [:error] [pid 5160:tid 1016] [client ::1:62634] PHP Parse error:  syntax error, unexpected '<' in C:\\Server\\data\\htdocs\\basic\\views\\users\\index.php on line 3
[Mon May 18 13:28:05.407124 2015] [:error] [pid 5160:tid 1016] [client ::1:62638] PHP Parse error:  syntax error, unexpected '<' in C:\\Server\\data\\htdocs\\basic\\views\\users\\index.php on line 3
[Mon May 18 13:28:06.144124 2015] [:error] [pid 5160:tid 1016] [client ::1:62642] PHP Parse error:  syntax error, unexpected '<' in C:\\Server\\data\\htdocs\\basic\\views\\users\\index.php on line 3
[Mon May 18 13:31:08.236124 2015] [:error] [pid 5160:tid 1004] [client ::1:63012] PHP Parse error:  syntax error, unexpected '"Meiirzhan"' (T_CONSTANT_ENCAPSED_STRING), expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 9
[Mon May 18 13:31:09.761124 2015] [:error] [pid 5160:tid 1004] [client ::1:63013] PHP Parse error:  syntax error, unexpected '"Meiirzhan"' (T_CONSTANT_ENCAPSED_STRING), expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 9
